process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
totalrates,medium,ssp119,5,2.8,2.6,2.5,2.3,2.1,2,1.8,1.8,1.6,1.5,1.3,1.2,1,1
totalrates,medium,ssp119,17,3.2,3.2,3,2.8,2.6,2.6,2.4,2.4,2.3,2.2,1.9,1.8,1.6,1.5
totalrates,medium,ssp119,50,4.1,4,4.1,4.1,4,4.1,4.1,4.2,4.1,3.9,3.7,3.5,3.4,3.3
totalrates,medium,ssp119,83,5.3,5.5,5.8,6,6.2,6.3,6.5,6.6,6.6,6.3,6.1,5.9,5.8,5.7
totalrates,medium,ssp119,95,6.6,6.8,7.4,7.7,8,8.2,8.5,8.7,8.6,8.4,8.1,8,7.8,7.8
totalrates,medium,ssp126,5,2.8,2.8,3,3,2.8,2.7,2.6,2.4,2.3,2.2,2,1.8,1.8,1.7
totalrates,medium,ssp126,17,3.2,3.3,3.4,3.5,3.4,3.4,3.2,3.2,3.1,2.9,2.8,2.6,2.4,2.4
totalrates,medium,ssp126,50,4.1,4.2,4.6,4.8,4.9,5,5.1,5.2,5.1,4.9,4.7,4.6,4.5,4.3
totalrates,medium,ssp126,83,5.3,5.6,6.3,6.8,7.2,7.5,7.8,8,8,7.7,7.5,7.3,7.2,7.2
totalrates,medium,ssp126,95,6.5,6.9,7.8,8.6,9.1,9.6,10,10.3,10.3,10,9.8,9.6,9.6,9.5
totalrates,medium,ssp245,5,2.9,3,3.4,3.8,4,4.1,4.2,4.3,4.2,4.1,4,3.9,3.8,3.6
totalrates,medium,ssp245,17,3.3,3.4,4,4.4,4.6,4.9,5.1,5.2,5.2,5,4.9,4.8,4.7,4.6
totalrates,medium,ssp245,50,4.1,4.4,5.1,5.8,6.4,6.8,7.2,7.7,7.8,7.5,7.4,7.3,7.2,7
totalrates,medium,ssp245,83,5.4,5.8,7,8,9,9.8,10.8,11.6,11.6,11.4,11.2,11.1,11,10.9
totalrates,medium,ssp245,95,6.5,7,8.4,9.8,11,12.1,13.2,14.4,14.6,14.2,14,14,13.8,13.7
totalrates,medium,ssp370,5,2.9,3.2,3.8,4.4,4.8,5.3,5.8,6.3,6.6,6.6,6.7,6.5,6.1,5.6
totalrates,medium,ssp370,17,3.3,3.6,4.3,5,5.6,6.2,6.8,7.4,7.8,7.8,7.9,7.8,7.4,7
totalrates,medium,ssp370,50,4.1,4.6,5.5,6.4,7.4,8.2,9.2,10.4,10.9,11,11,10.9,10.6,10.3
totalrates,medium,ssp370,83,5.4,6,7.3,8.7,10,11.6,13.1,14.8,15.6,15.6,15.6,15.5,15.2,14.9
totalrates,medium,ssp370,95,6.6,7.3,9,10.7,12.4,14.2,16.2,18.4,19.3,19.2,19.2,19.1,18.9,18.5
totalrates,medium,ssp585,5,3.1,3.4,4.1,4.8,5.4,6.1,6.7,7.3,7.5,7.4,7.2,6.5,5.9,5.4
totalrates,medium,ssp585,17,3.6,3.9,4.7,5.6,6.3,7,7.8,8.6,8.9,8.8,8.6,8,7.4,7
totalrates,medium,ssp585,50,4.4,4.9,6,7.2,8.3,9.5,10.8,12.1,12.6,12.4,12.2,11.8,11.2,10.8
totalrates,medium,ssp585,83,5.8,6.4,8,9.7,11.4,13.3,15.4,17.6,18.4,18,17.8,17.4,16.8,16.4
totalrates,medium,ssp585,95,7,7.9,9.8,12,14.2,16.5,19.2,22.1,23,22.5,22.3,21.8,21.2,20.8
totalrates,low,ssp126,5,2.4,2.4,2.6,2.8,2.6,1.8,0.9,0.6,0.8,1.2,1.4,1.4,1.4,1.4
totalrates,low,ssp126,17,3.2,3.3,3.4,3.5,3.4,3.4,3,2.8,3,2.9,2.8,2.6,2.4,2.4
totalrates,low,ssp126,50,4.2,4.4,4.8,5.1,5.1,5.2,5.2,5.4,5.4,5.4,5.3,5.3,5.4,5.7
totalrates,low,ssp126,83,6.9,7.6,8.7,9.1,9.6,10.4,10.8,11,11.2,11.2,11.2,11.4,11.5,11.6
totalrates,low,ssp126,95,9.3,10.4,11.8,12.5,13.8,15.4,16.4,16.8,16.8,16.8,16.8,17,17.2,17.6
totalrates,low,ssp585,5,2.3,2.8,4,4.8,5.4,5.8,5.8,5.9,6.3,6.6,6.4,5.8,5.1,4.5
totalrates,low,ssp585,17,3.4,3.9,4.7,5.6,6.3,7,7.8,8.6,8.9,8.8,8.6,8,7.4,7
totalrates,low,ssp585,50,4.6,5.1,6.4,7.9,9.3,11.1,13.4,15.8,17.8,19.4,21.1,23.2,25.3,27
totalrates,low,ssp585,83,8,9.4,12.5,16.1,20.3,24.2,27.4,30.1,37.8,48.4,63.3,83.6,98.2,99.8
totalrates,low,ssp585,95,11.6,13.6,17.6,22.3,28.8,34.6,40.9,47,53.7,59.8,73.6,97.4,112,113.1